distance_from_food_x,distance_from_food_y,action
0.474,-0.014,LEFT
0.464,-0.014,LEFT
0.454,-0.014,LEFT
0.444,-0.014,LEFT
0.434,-0.014,LEFT
0.424,-0.014,LEFT
0.414,-0.014,LEFT
0.404,-0.014,LEFT
0.394,-0.014,LEFT
0.384,-0.014,LEFT
0.374,-0.014,LEFT
0.364,-0.014,LEFT
0.354,-0.014,LEFT
0.344,-0.014,LEFT
0.334,-0.014,LEFT
0.324,-0.014,LEFT
0.314,-0.014,LEFT
0.304,-0.014,LEFT
0.294,-0.014,LEFT
0.284,-0.014,LEFT
0.274,-0.014,LEFT
0.264,-0.014,LEFT
0.254,-0.014,LEFT
0.244,-0.014,LEFT
0.234,-0.014,LEFT
0.224,-0.014,LEFT
0.214,-0.014,LEFT
0.204,-0.014,LEFT
0.194,-0.014,LEFT
0.184,-0.014,LEFT
0.174,-0.014,LEFT
0.164,-0.014,LEFT
0.154,-0.014,LEFT
0.144,-0.014,LEFT
0.134,-0.014,LEFT
0.124,-0.014,LEFT
0.114,-0.014,LEFT
0.104,-0.014,LEFT
0.094,-0.014,LEFT
0.084,-0.014,LEFT
0.074,-0.014,LEFT
0.064,-0.014,LEFT
0.054,-0.014,LEFT
0.044,-0.014,LEFT
0.034,-0.014,LEFT
0.024,-0.014,LEFT
0.128,0.462,LEFT
0.128,0.452,UP
0.128,0.442,UP
0.128,0.432,UP
0.128,0.422,UP
0.128,0.412,UP
0.128,0.402,UP
0.128,0.392,UP
0.128,0.382,UP
0.128,0.372,UP
0.128,0.362,UP
0.128,0.352,UP
0.128,0.342,UP
0.128,0.332,UP
0.128,0.322,UP
0.128,0.312,UP
0.128,0.302,UP
0.128,0.292,UP
0.128,0.282,UP
0.128,0.272,UP
0.128,0.262,UP
0.128,0.252,UP
0.128,0.242,UP
0.128,0.232,UP
0.128,0.222,UP
0.128,0.212,UP
0.128,0.202,UP
0.128,0.192,UP
0.128,0.182,UP
0.128,0.172,UP
0.128,0.162,UP
0.128,0.152,UP
0.128,0.142,UP
0.128,0.132,UP
0.128,0.122,UP
0.128,0.112,UP
0.128,0.102,UP
0.128,0.092,UP
0.128,0.082,UP
0.128,0.072,UP
0.118,0.072,LEFT
0.108,0.072,LEFT
0.098,0.072,LEFT
0.088,0.072,LEFT
0.078,0.072,LEFT
0.068,0.072,LEFT
0.058,0.072,LEFT
0.058,0.062,UP
0.048,0.062,LEFT
0.048,0.052,UP
0.048,0.042,UP
0.038,0.042,LEFT
0.038,0.032,UP
0.028,0.032,LEFT
0.018,0.032,LEFT
0.018,0.022,UP
-0.234,0.14,LEFT
-0.234,0.13,UP
-0.234,0.12,UP
-0.234,0.11,UP
-0.234,0.1,UP
-0.234,0.09,UP
-0.234,0.08,UP
-0.234,0.07,UP
-0.234,0.06,UP
-0.234,0.05,UP
-0.224,0.05,RIGHT
-0.214,0.05,RIGHT
-0.204,0.05,RIGHT
-0.194,0.05,RIGHT
-0.184,0.05,RIGHT
-0.174,0.05,RIGHT
-0.164,0.05,RIGHT
-0.154,0.05,RIGHT
-0.144,0.05,RIGHT
-0.134,0.05,RIGHT
-0.134,0.04,UP
-0.124,0.04,RIGHT
-0.114,0.04,RIGHT
-0.104,0.04,RIGHT
-0.094,0.04,RIGHT
-0.084,0.04,RIGHT
-0.074,0.04,RIGHT
-0.064,0.04,RIGHT
-0.054,0.04,RIGHT
-0.044,0.04,RIGHT
-0.034,0.04,RIGHT
-0.024,0.04,RIGHT
-0.024,0.03,UP
-0.014,0.03,RIGHT
-0.014,0.02,UP
-0.478,-0.478,RIGHT
-0.478,-0.468,DOWN
-0.478,-0.458,DOWN
-0.478,-0.448,DOWN
-0.478,-0.438,DOWN
-0.478,-0.428,DOWN
-0.478,-0.418,DOWN
-0.478,-0.408,DOWN
-0.478,-0.398,DOWN
-0.478,-0.388,DOWN
-0.478,-0.378,DOWN
-0.478,-0.368,DOWN
-0.478,-0.358,DOWN
-0.478,-0.348,DOWN
-0.478,-0.338,DOWN
-0.478,-0.328,DOWN
-0.478,-0.318,DOWN
-0.478,-0.308,DOWN
-0.478,-0.298,DOWN
-0.478,-0.288,DOWN
-0.478,-0.278,DOWN
-0.478,-0.268,DOWN
-0.478,-0.258,DOWN
-0.478,-0.248,DOWN
-0.478,-0.238,DOWN
-0.478,-0.228,DOWN
-0.478,-0.218,DOWN
-0.478,-0.208,DOWN
-0.478,-0.198,DOWN
-0.478,-0.188,DOWN
-0.478,-0.178,DOWN
-0.478,-0.168,DOWN
-0.478,-0.158,DOWN
-0.478,-0.148,DOWN
-0.478,-0.138,DOWN
-0.478,-0.128,DOWN
-0.478,-0.118,DOWN
-0.478,-0.108,DOWN
-0.478,-0.098,DOWN
-0.478,-0.088,DOWN
-0.478,-0.078,DOWN
-0.478,-0.068,DOWN
-0.478,-0.058,DOWN
-0.478,-0.048,DOWN
-0.478,-0.038,DOWN
-0.478,-0.028,DOWN
-0.478,-0.018,DOWN
-0.478,-0.008,DOWN
-0.468,-0.008,RIGHT
-0.458,-0.008,RIGHT
-0.448,-0.008,RIGHT
-0.438,-0.008,RIGHT
-0.428,-0.008,RIGHT
-0.418,-0.008,RIGHT
-0.408,-0.008,RIGHT
-0.398,-0.008,RIGHT
-0.388,-0.008,RIGHT
-0.378,-0.008,RIGHT
-0.368,-0.008,RIGHT
-0.358,-0.008,RIGHT
-0.348,-0.008,RIGHT
-0.338,-0.008,RIGHT
-0.328,-0.008,RIGHT
-0.318,-0.008,RIGHT
-0.308,-0.008,RIGHT
-0.298,-0.008,RIGHT
-0.288,-0.008,RIGHT
-0.278,-0.008,RIGHT
-0.268,-0.008,RIGHT
-0.258,-0.008,RIGHT
-0.248,-0.008,RIGHT
-0.238,-0.008,RIGHT
-0.228,-0.008,RIGHT
-0.218,-0.008,RIGHT
-0.208,-0.008,RIGHT
-0.198,-0.008,RIGHT
-0.188,-0.008,RIGHT
-0.178,-0.008,RIGHT
-0.168,-0.008,RIGHT
-0.158,-0.008,RIGHT
-0.148,-0.008,RIGHT
-0.138,-0.008,RIGHT
-0.128,-0.008,RIGHT
-0.118,-0.008,RIGHT
-0.108,-0.008,RIGHT
-0.098,-0.008,RIGHT
-0.088,-0.008,RIGHT
-0.078,-0.008,RIGHT
-0.068,-0.008,RIGHT
-0.058,-0.008,RIGHT
-0.048,-0.008,RIGHT
-0.038,-0.008,RIGHT
-0.028,-0.008,RIGHT
0.772,0.668,RIGHT
0.772,0.658,UP
0.772,0.648,UP
0.772,0.638,UP
0.772,0.628,UP
0.772,0.618,UP
0.772,0.608,UP
0.772,0.598,UP
0.772,0.588,UP
0.772,0.578,UP
0.772,0.568,UP
0.772,0.558,UP
0.772,0.548,UP
0.772,0.538,UP
0.772,0.528,UP
0.772,0.518,UP
0.772,0.508,UP
0.772,0.498,UP
0.772,0.488,UP
0.772,0.478,UP
0.772,0.468,UP
0.772,0.458,UP
0.772,0.448,UP
0.772,0.438,UP
0.772,0.428,UP
0.772,0.418,UP
0.772,0.408,UP
0.772,0.398,UP
0.772,0.388,UP
0.772,0.378,UP
0.772,0.368,UP
0.772,0.358,UP
0.772,0.348,UP
0.772,0.338,UP
0.772,0.328,UP
0.772,0.318,UP
0.772,0.308,UP
0.772,0.298,UP
0.772,0.288,UP
0.772,0.278,UP
0.772,0.268,UP
0.772,0.258,UP
0.772,0.248,UP
0.772,0.238,UP
0.772,0.228,UP
0.772,0.218,UP
0.772,0.208,UP
0.772,0.198,UP
0.772,0.188,UP
0.772,0.178,UP
0.772,0.168,UP
0.772,0.158,UP
0.772,0.148,UP
0.772,0.138,UP
0.772,0.128,UP
0.772,0.118,UP
0.772,0.108,UP
0.772,0.098,UP
0.772,0.088,UP
0.772,0.078,UP
0.772,0.068,UP
0.772,0.058,UP
0.772,0.048,UP
0.772,0.038,UP
0.772,0.028,UP
0.762,0.028,LEFT
0.752,0.028,LEFT
0.742,0.028,LEFT
0.732,0.028,LEFT
0.722,0.028,LEFT
0.712,0.028,LEFT
0.702,0.028,LEFT
0.692,0.028,LEFT
0.682,0.028,LEFT
0.672,0.028,LEFT
0.662,0.028,LEFT
0.652,0.028,LEFT
0.642,0.028,LEFT
0.632,0.028,LEFT
0.622,0.028,LEFT
0.612,0.028,LEFT
0.602,0.028,LEFT
0.602,0.018,UP
0.592,0.018,LEFT
0.582,0.018,LEFT
0.572,0.018,LEFT
0.562,0.018,LEFT
0.552,0.018,LEFT
0.542,0.018,LEFT
0.532,0.018,LEFT
0.522,0.018,LEFT
0.512,0.018,LEFT
0.502,0.018,LEFT
0.492,0.018,LEFT
0.482,0.018,LEFT
0.472,0.018,LEFT
0.462,0.018,LEFT
0.452,0.018,LEFT
0.442,0.018,LEFT
0.432,0.018,LEFT
0.422,0.018,LEFT
0.412,0.018,LEFT
0.402,0.018,LEFT
0.392,0.018,LEFT
0.382,0.018,LEFT
0.372,0.018,LEFT
0.362,0.018,LEFT
0.352,0.018,LEFT
0.342,0.018,LEFT
0.332,0.018,LEFT
0.322,0.018,LEFT
0.312,0.018,LEFT
0.302,0.018,LEFT
